,Breed,Origin,Coat,Other_Names,Colour,Male_Dog_Height,Female_Dog_Height,Male_Dog_Weight,Female_Dog_Weight
0,Akbash,Turkey,double coat ,Akbaş Çoban Köpeği,white ,60-85 cm (24-33 in): 7,50-75 cm (20-30 in): 7,45-65 kg (99-143 lb): 7,35-55 kg (77-121 lb): 7
1,Akita,Japan,Double coat,"Akita Inu, Kuma Inu (Bearhound),","Ginger, Red, brindle white, sable all with white fur on the ventral areas of the dog (genetics variants can include black & grey) (urajiro)",64-71 cm (25-28 in),58-66 cm (23-26 in),27-59 kg (60-130 lb),25-45 kg (55-100 lb)
2,Aksaray Malaklisi,Turkey,short,Malaklı Karabaş,grey,73-78 cm (29-31 in),73-78 cm (29-31 in),Not available,Not available
3,Alano Español,Spain,short and thick,Spanish AlauntSpanish Bulldog Spanish Alano,"any kind of brindleleonardo (fawn)black and brindlesable wolf, blue",58-63 cm (23-25 in),55-60 cm (22-24 in),30-40 kg (66-88 lb),25-35 kg (55-77 lb)
4,Alapaha Blue Blood Bulldog,United States,Short,Not available,Not available,20-25 in (51-64 cm),20-25 in (51-64 cm),50-90 lb (23-41 kg),50-90 lb (23-41 kg)
5,Alaskan Husky,United States (Alaska),Usually double coat,Not available,Not available,20-26 in (51-66 cm),20-26 in (51-66 cm),35-75 lb (16-34 kg),35-75 lb (16-34 kg)
6,Alaskan Klee Kai,United States,Standard or full-coated,Klee Kai,Not available,toy: up to 13 in (33 cm); miniature: 13-15 in (33-38 cm); standard: 15-17 in (38-43 cm);,toy: up to 13 in (33 cm); miniature: 13-15 in (33-38 cm); standard: 15-17 in (38-43 cm);,toy: up to 9 lb (4.1 kg); miniature: 10-15 lb (4.5-6.8 kg); standard: 16-22 lb (7.3-10.0 kg);,toy: up to 9 lb (4.1 kg); miniature: 10-15 lb (4.5-6.8 kg); standard: 16-22 lb (7.3-10.0 kg);
7,Alaskan Malamute,Alaska,"Thick, a double coat, with plush undercoat",Not available,Not available,25 inches (64 cm),23 inches (58 cm),38 kilograms (84 lb),
8,Alopekis,Greece mainly in the Serres region.,Not available,Not available,Not available,Not available,Not available,Not available,Not available
9,Alpine Dachsbracke,Austria,"Dense, short, smooth",Alpenländische Dachsbracke,Not available,13 to 16 inches (33 to 41 cm),13 to 16 inches (33 to 41 cm),33 to 40 pounds (15 to 18 kg),33 to 40 pounds (15 to 18 kg)
10,American Bulldog,United States,"Short, harsh",Southern WhiteWhite EnglishOld Southern White,Not available,50-65 cm (20-26 in),51-61 cm (20-24 in),34-52 kg (75-115 lb);bully type: 36.2-56.7 kg (80-125 lb);,27-41 kg (60-90 lb)
11,American Bully,United States,"Short, smooth and glossy",Not available,Not available,33-50 cm (13-20 in),33-50 cm (13-20 in),20-60 kg (44-132 lb),20-60 kg (44-132 lb)
12,American Cocker Spaniel,United States,"medium-length, thick, long","Cocker Spaniel (in USA), Cocker,",Not available,Not available,Not available,Not available,Not available
13,American English Coonhound,United States,Short to medium,English CoonhoundRedtick Coonhound,Not available,Not Available,Not Available,Not Available,Not Available
14,American Eskimo Dog,United StatesGermany,Not available,American SpitzGerman Spitz,Not available,Not available,Not available,Not available,Not available
15,American Foxhound,United States,"Short, hard",Not available,Not available,21-25 in (53-64 cm),,55-71 lb (25-32 kg),
16,American Hairless Terrier,United States,"Hairless, coated examples have a short dense coat",Not available,Not available,10-18 in (25-46 cm),10-18 in (25-46 cm),7-14 lb (3.2-6.4 kg),7-14 lb (3.2-6.4 kg)
17,American Leopard Hound,United States,Short and smooth,Not available,Not available,21-27 inches,21-27 inches,35-75 pounds,35-75 pounds
18,American Pit Bull Terrier,USA,smooththinsingle,Pit Bull Pitbull Terrier,Not available,45-53 cm (18-21 in),43-50 cm (17-20 in),15.8-27.2 kg (35-60 lb),13.6-22.6 kg (30-50 lb)
19,American Staffordshire Terrier,United States,Smooth,Not available,Not available,16.9-18.8 in (43-48 cm),16.9-18.8 in (43-48 cm),about 50-80 lb (23-36 kg),about 50-80 lb (23-36 kg)
20,American Water Spaniel,United States,"Double coated, curly exterior layer","American Brown Spaniel, American Brown",Not available,15-18 inches (38-46 cm),15-18 inches (38-46 cm),25-40 lb (11-18 kg),25-40 lb (11-18 kg)
21,Anglo-Français de Petite Vénerie,France,"short, dense and smooth",Not available,"white, black and bright tan white, black and pale tan white and orange.",48-56 cm (19-22 in),48-56 cm (19-22 in),Not available,Not available
22,Appenzeller Sennenhund,Switzerland,double,Appizöller BlässBouvier de l'AppenzellBouvier AppenzelloisBovaro,"tricolour black or Havana brown, with white and reddish-brown markings",52-56 cm (20-22 in),50-54 cm (20-21 in),22-32 kg (49-71 lb),22-32 kg (49-71 lb)
23,Ariège Pointer,France,Not available,Braque de l'Ariège,Not available,60-67 cm (24-26 in),56-65 cm (22-26 in),Not available,Not available
24,Ariegeois,France,"short, fine and dense",Ariege Hound,"white or mottled white, with black patches and tan markings",52-58 cm (20-23 in),50-56 cm (20-22 in),25-27 kg (55-60 lb),25-27 kg (55-60 lb)
25,Armant,Egypt,"Long, shaggy & rough",Egyptian SheepdogErmenti,"Black, black & tan, tri-colour, grey and greyish yellow",approx 56 cm (22 in),approx 56 cm (22 in),23-27 kg (51-60 lb),23-27 kg (51-60 lb)
26,Armenian Gampr,Armenia,"long or short, with soft undercoat","Armenian գամփռ, gamp’ṙGamprArmenian Wolfhound Gampr",any,from 65 cm (25 in): 65,from 60 cm (23 in): 65,average: 55 kg (120 lb): 65,average: 50 kg (110 lb): 65
27,Artois Hound,France,Not available,Chien d'Artois Picard Briquet,Not available,53-58 cm (21-23 in),53-58 cm (21-23 in),28-30 kg (62-66 lb),28-30 kg (62-66 lb)
28,Assyrian Mastiff,Assyria,Not available,Not available,Not available,Not available,Not available,Not available,Not available
29,Australian Cattle Dog,Australia,short double coat,"ACD, Cattle Dog, Blue Heeler,",Not available,46-51 cm (18-20 in),43-48 cm (17-19 in),15-22 kg (33-49 lb),15-22 kg (33-49 lb)
30,Australian Kelpie,Australia,short double coat,"Kelpie, Barb","black, black and tan, red, red and tan, chocolate, chocolate and tan, blue, blue and tan, fawn, fawn and tan, cream, black and white",39-51 cm (15-20 in),39-51 cm (15-20 in),13-19 kg (29-42 lb),13-19 kg (29-42 lb)
31,Australian Shepherd,United States,Moderately long double coat,Not available,Not available,20-23 in (51-58 cm),18-21 in (46-53 cm),35-70 lb (16-32 kg),35-70 lb (16-32 kg)
32,Australian Stumpy Tail Cattle Dog,Australia,short,Stumpy Tail Cattle Dog,Not available,46-51 cm (18-20 in),46-51 cm (18-20 in),Not available,Not available
33,Australian Terrier,Australia,Not available,Not available,Not available,~25 centimetres (10 in),,~6.5 kilograms (14 lb),
34,Austrian Black and Tan Hound,Austria,"smooth, dense, and short","Brandlbracke, Vieräugl",Not available,50-56 cm (20-22 in),48-54 cm (19-21 in),33-49 lb (15-22 kg),33-49 lb (15-22 kg)
35,Austrian Pinscher,Austria,Not available,Österreichischer Kurzhaarpinscher or Austrian Shorthaired,Not available,44-50 cm (17-20 in),42-48 cm (17-19 in),Not available,Not available
36,Azawakh,"Mali, Niger, Burkina Faso","Short, fine",IdiHansheeOskaRawonduBareeruWulo(formerly) Tuareg Sloughi,Not available,64-74 cm (25-29 in),60-70 cm (24-28 in),20-25 kg (44-55 lb),15-20 kg (33-44 lb)
37,Bắc Hà dog,Vietnam,Double,Vietspitz,Not available,52-58 cm,50-56 cm,22-28 kg,18-24 kg
38,Bakharwal dog,Indian subcontinent,Double coat,"Bakerwal, Bakerwal Mastiff, Gujar Dog,","Black and tan, piebald, tri-colour",61-76 cm (24-30 in),61-76 cm (24-30 in),70-90 kg (150-200 lb),70-90 kg (150-200 lb)
39,Banjara Hound,India,Not available,"Banjāri Hound, Vanjāri Hound, Banjāri",Not available,Not available,Not available,Not available,Not available
